Output,Note
<pad> dangerous</s>,"[NAME] was working a near by cliff that had about a 20' drop off, crew didn't discuss as a hazard on briefing, i discussed with GF and he told the foreman to make the corrections and place something out there to give crews a visual."
<pad> dangerous</s>,[NAME] trucks with cut out bumbers need a hitch step fabricated to facilitate safe entry and exit from the back
<pad> dangerous</s>,Employee rigged a concrete culvert to be off load from a flat bed trailer. Employee was in line of fire when culvert was being lifted.
<pad> not dangerous</s>,[NAME] tender was not wearing his Hardhat. I recommended they discuss PPE use during the after lunch briefing.
<pad> dangerous</s>,A drop zone was not clearly marked by the crew while the climber aloft was bringing the tree down to a spar.
<pad> not dangerous</s>,Discussed the need to utilize PVDs during assessment with unknown conditions and downed lines. AEP Utilities - PVD Policy
<pad> not dangerous</s>,"Team was wearing all appropriate PPE for the tasks at hand until the hydrovac team started their work. I noticed that the equipment was rather loud, so I conducted a noise survey and shared the results with the team. I also shared the NIOSH app that I was using with the crew leaders as well. They weren't familiar with it, and they downloaded the application for their use too. Kudos to the team, as they all went and got their hearing protection and thanked me for sharing the results."
<pad> not dangerous</s>,"No [NAME] version available. [NAME] went over briefing with us. Explained the need for and purpose of [NAME] briefing. Need more detail on ATE fire briefing; no assignments, water source, or humidity."
<pad> dangerous</s>,After looking at the job LCS requested a Vac truck due to seeing the markings of all underground utilities in the area.
<pad> dangerous</s>,[NAME] member was standing alongside the road while other crew member was cutting brush around pole. This was a very high traffic area and crew member should have been farther off the road to avoid getting hit.
<pad> not dangerous</s>,"Asked crew last time they inspected their harness, was unable to remember. Had linemen inspect their harnesses before going up in bucket"
<pad> not dangerous</s>,"Wheel chocks were only placed on one side, and they were placed on the uphill side. ( Slight Slope )"
<pad> not dangerous</s>,"The [NAME] was provided some coaching for not having signs on the cross street, as the [NAME] working close to an intersection, and there was no warning for cars turning onto the street with the work zone. The [NAME] moved a sign, but was advised to talk to management about getting two more [NAME] Ahead signs to have for this set up situation."
<pad> dangerous</s>,[NAME] member was driving without a seatbelt on the ROW. Spoke to their safety supervisor and he corrected the employee.
<pad> dangerous</s>,"LMA got out of truck without hard had on, there were a crane loading scrap wood and another crew loading poles in the vicinity."
<pad> dangerous</s>,Individual climbed into bucket with one hand full. 3 points of contact not used. Specifically covered in SJO.
<pad> not dangerous</s>,"Three of the four [NAME] members were not wearing hard hats. The [NAME] Lead was provided some coaching on this, and agreed that they should have had hard hats on, while completing the task they were working on."
<pad> dangerous</s>,[NAME] was using sling to secure dolly to pull cable in trenwa. Sling was wrapped around excavator bucket with rough edges. Recommend contractor use approved rigging practices to protect sling from damage.
<pad> not dangerous</s>,"[NAME] member was observed working without safety glasses. I spoke to and coached the team member about the importance of proper PPE. The matter was corrected. PPE Required [NAME] - T & C 8. 1. 1, 8. 1. 3, 8. 1. 6, 8. 3. 1 ( [NAME] Protection )"
<pad> not dangerous</s>,driver was not comfortable driving a 1500 dodge pickup. i could sense that they were at ease driving this vehicle by the body signs and tension in the arms. i asked before and during the driving session of their comfort level. after completing drive i spoke about bring this issue up to their supervision if they ever had to drive a company vehicle.
<pad> not dangerous</s>,Job briefing communicated verbally but not documented. Discussed with Briar. [NAME] had paper tailboards in truck. Did not use. Coached and will use moving forward when working in pairs.
<pad> not dangerous</s>,[NAME] was using crane to set rebar cage. They didnt have inspect or check rigging on the THA or JB. The suspended load icon wasnt marked on the JB either. Talked with the supervisor on the importance of capturing that information on the JB
<pad> dangerous</s>,Operator was running equipment without use of his seatbelt. I stopped him and reminded him to wear seatbelts during operations. [NAME] made correction immediately.
<pad> dangerous</s>,Observed [NAME] mechanic changing tire on site truck. The truck was being lifted by the crane boom from the service truck attached to the reese hitch of the truck. The hitch is not a certified lifting point for the truck. The work was also being done without having any jack stands or cribbing under the truck while the tire was being changed.
<pad> dangerous</s>,"[NAME] of second crew never signed JB. JEL never discussed or documented. Entry location to ROW was never marked, [NAME] cone was leading visitors to the steepest and most hazardous location to enter ROW."
<pad> dangerous</s>,member of crew working without safety glasses. starting saw by multiply members without hearing protection.
<pad> dangerous</s>,I did coach with LCS on LOF around bottom of pole as one employee had started working at the base of the pole while lineman in bucket was above.
<pad> not dangerous</s>,"Employee was climbing the pole and planning to use a chainsaw. The question was asked is it ok to use the saw without chaps while climbing working off of the pole. There is not language around this practice, so we chose to wear the chaps."
<pad> not dangerous</s>,WSHP provided by [NAME] River Electrical did not have the correct contact information for AEP personnel.
<pad> not dangerous</s>,I noticed that they should be covering up a iron cross that they were working near. i told them about the area that should be covered up and they made the necessary adjustments
<pad> not dangerous</s>,I did observe a ground in use that didn't have the proper label attached for testing. I did make them aware of the condition.
<pad> dangerous</s>,"Climber Amiot had to regularly adjust and tighten his harness while aloft on the ladder, we discussed fixing this properly while not aloft and got a commitment to doing so."
<pad> not dangerous</s>,The job briefing consisted of to many job steps which didnt allow for the crew to capture all of the hazards associated with each process of the work task. Spoke with foreman about adding an additional job briefing when necessary to ensure that they capture all of the associated hazards.
<pad> dangerous</s>,[NAME] crew as out with Dakotah's crews and niether crew had a sign out west of the crew but no sign on the east side of the crew to let people know coming around the corner that the crews were there blocking a lane of the road. This was fixed after I informed [NAME] that another sign was needed.
<pad> not dangerous</s>,[NAME] was parked in middle of several trucks. [NAME] had his strobe lights on. Didn't have any cones out.
<pad> not dangerous</s>,"Hi - vis was not being worn by crew members as they worked on / along [NAME] [NAME] Rd in [NAME], OH."
<pad> dangerous</s>,"Employee removed safety eyewear to look down excavation. I reminded him to glasses back on, especially for concrete pour."
